x,z,u
0.0,0.5,-0.00044965371
0.006006006,0.5,-0.00044369325
0.012012012,0.5,-0.00043731555
0.018018018,0.5,-0.00043075904
0.024024025,0.5,-0.0004237853
0.03003003,0.5,-0.00041669235
0.036036037,0.5,-0.00040900335
0.042042043,0.5,-0.00040125474
0.04804805,0.5,-0.00039326772
0.054054055,0.5,-0.00038486347
0.06006006,0.5,-0.0003763996
0.06606607,0.5,-0.00036769733
0.072072074,0.5,-0.00035875663
0.078078076,0.5,-0.00034963712
0.084084086,0.5,-0.000340458
0.090090096,0.5,-0.00033104047
0.0960961,0.5,-0.00032156333
0.1021021,0.5,-0.00031178817
0.10810811,0.5,-0.000302013
0.11411412,0.5,-0.00029223785
0.12012012,0.5,-0.00028228387
0.12612613,0.5,-0.0002723299
0.13213214,0.5,-0.0002622567
0.13813815,0.5,-0.00025218353
0.14414415,0.5,-0.00024222955
0.15015015,0.5,-0.00023221597
0.15615615,0.5,-0.00022220239
0.16216217,0.5,-0.0002121292
0.16816817,0.5,-0.00020211563
0.17417417,0.5,-0.00019228086
0.18018019,0.5,-0.00018238649
0.1861862,0.5,-0.00017279014
0.1921922,0.5,-0.00016313419
0.1981982,0.5,-0.00015347824
0.2042042,0.5,-0.00014417991
0.21021022,0.5,-0.00013482198
0.21621622,0.5,-0.00012570247
0.22222222,0.5,-0.00011658296
0.22822824,0.5,-0.00010788068
0.23423424,0.5,-9.91784e-05
0.24024025,0.5,-9.095296e-05
0.24624625,0.5,-8.24295e-05
0.25225225,0.5,-7.4561685e-05
0.25825825,0.5,-6.675348e-05
0.2642643,0.5,-5.9004873e-05
0.2702703,0.5,-5.1733106e-05
0.2762763,0.5,-4.458055e-05
0.2822823,0.5,-3.7726015e-05
0.2882883,0.5,-3.11099e-05
0.2942943,0.5,-2.4851412e-05
0.3003003,0.5,-1.8771738e-05
0.3063063,0.5,-1.2930483e-05
0.3123123,0.5,-7.50646e-06
0.31831834,0.5,-2.3208559e-06
0.32432434,0.5,2.566725e-06
0.33033034,0.5,7.0370734e-06
0.33633634,0.5,1.1388212e-05
0.34234235,0.5,1.5381724e-05
0.34834835,0.5,1.9077212e-05
0.35435435,0.5,2.2295862e-05
0.36036038,0.5,2.53357e-05
0.3663664,0.5,2.7898699e-05
0.3723724,0.5,3.034249e-05
0.3783784,0.5,3.2309443e-05
0.3843844,0.5,3.3978373e-05
0.3903904,0.5,3.546849e-05
0.3963964,0.5,3.6422163e-05
0.4024024,0.5,3.7077814e-05
0.4084084,0.5,3.755465e-05
0.41441444,0.5,3.7614256e-05
0.42042044,0.5,3.7375838e-05
0.42642644,0.5,3.6899e-05
0.43243244,0.5,3.600493e-05
0.43843845,0.5,3.499165e-05
0.44444445,0.5,3.3501536e-05
0.45045045,0.5,3.1713396e-05
0.45645648,0.5,2.956763e-05
0.46246248,0.5,2.7243048e-05
0.4684685,0.5,2.4620444e-05
0.4744745,0.5,2.175942e-05
0.4804805,0.5,1.865998e-05
0.4864865,0.5,1.520291e-05
0.4924925,0.5,1.1507422e-05
0.4984985,0.5,7.5139105e-06
0.5045045,0.5,3.580004e-06
0.5105105,0.5,-8.3073974e-07
0.5165165,0.5,-5.479902e-06
0.5225225,0.5,-1.0188669e-05
0.5285286,0.5,-1.51358545e-05
0.5345346,0.5,-2.0261854e-05
0.5405406,0.5,-2.5566667e-05
0.5465466,0.5,-3.0931085e-05
0.5525526,0.5,-3.6414713e-05
0.5585586,0.5,-4.213676e-05
0.5645646,0.5,-4.8097223e-05
0.5705706,0.5,-5.4057688e-05
0.5765766,0.5,-6.0077757e-05
0.5825826,0.5,-6.6217035e-05
0.5885886,0.5,-7.235631e-05
0.5945946,0.5,-7.843599e-05
0.6006006,0.5,-8.487329e-05
0.6066066,0.5,-9.101257e-05
0.6126126,0.5,-9.733066e-05
0.6186186,0.5,-0.00010364875
0.6246246,0.5,-0.00010978803
0.6306307,0.5,-0.00011598691
0.6366367,0.5,-0.0001221858
0.6426427,0.5,-0.00012820587
0.6486487,0.5,-0.00013422593
0.6546547,0.5,-0.00014006719
0.6606607,0.5,-0.00014584884
0.6666667,0.5,-0.00015151128
0.6726727,0.5,-0.0001568757
0.6786787,0.5,-0.00016229972
0.6846847,0.5,-0.00016748533
0.6906907,0.5,-0.00017243251
0.6966967,0.5,-0.0001773201
0.7027027,0.5,-0.00018179044
0.7087087,0.5,-0.00018638
0.7147147,0.5,-0.00019037351
0.72072077,0.5,-0.00019424781
0.7267268,0.5,-0.00019782409
0.7327328,0.5,-0.00020110235
0.7387388,0.5,-0.00020426139
0.7447448,0.5,-0.00020676479
0.7507508,0.5,-0.00020926818
0.7567568,0.5,-0.00021141395
0.7627628,0.5,-0.00021320209
0.7687688,0.5,-0.0002146326
0.7747748,0.5,-0.0002158247
0.7807808,0.5,-0.00021659955
0.7867868,0.5,-0.00021701679
0.7927928,0.5,-0.00021689758
0.7987988,0.5,-0.00021671876
0.8048048,0.5,-0.0002158843
0.8108108,0.5,-0.00021481141
0.8168168,0.5,-0.0002133809
0.82282287,0.5,-0.00021141395
0.8288289,0.5,-0.00020914897
0.8348349,0.5,-0.00020652637
0.8408409,0.5,-0.00020354614
0.8468469,0.5,-0.00020014867
0.8528529,0.5,-0.00019627437
0.8588589,0.5,-0.00019210204
0.8648649,0.5,-0.00018751249
0.8708709,0.5,-0.00018280372
0.8768769,0.5,-0.0001774989
0.8828829,0.5,-0.00017189607
0.8888889,0.5,-0.0001659356
0.8948949,0.5,-0.00015973672
0.9009009,0.5,-0.0001531206
0.9069069,0.5,-0.00014620647
0.91291296,0.5,-0.0001389347
0.91891897,0.5,-0.00013154373
0.92492497,0.5,-0.00012379512
0.930931,0.5,-0.0001158081
0.936937,0.5,-0.00010764226
0.942943,0.5,-9.923801e-05
0.948949,0.5,-9.065494e-05
0.954955,0.5,-8.183345e-05
0.960961,0.5,-7.295236e-05
0.966967,0.5,-6.395206e-05
0.972973,0.5,-5.5011362e-05
0.978979,0.5,-4.601106e-05
0.984985,0.5,-3.6712736e-05
0.990991,0.5,-2.7593225e-05
0.996997,0.5,-1.8473715e-05
1.003003,0.5,-9.652227e-06
1.009009,0.5,-8.3073974e-07
1.015015,0.5,7.931143e-06
1.021021,0.5,1.6514212e-05
1.027027,0.5,2.4739653e-05
1.033033,0.5,3.278628e-05
1.039039,0.5,4.0415674e-05
1.045045,0.5,4.780665e-05
1.051051,0.5,5.4899603e-05
1.0570571,0.5,6.1217695e-05
1.0630631,0.5,6.7237765e-05
1.0690691,0.5,7.266179e-05
1.0750751,0.5,7.760897e-05
1.0810812,0.5,8.17813e-05
1.0870872,0.5,8.511916e-05
1.0930932,0.5,8.768216e-05
1.0990992,0.5,8.958951e-05
1.1051052,0.5,9.066239e-05
1.1111112,0.5,9.0721995e-05
1.1171172,0.5,8.976832e-05
1.1231232,0.5,8.768216e-05
1.1291292,0.5,8.4701926e-05
1.1351352,0.5,8.023158e-05
1.1411412,0.5,7.474795e-05
1.1471472,0.5,6.7893416e-05
1.1531532,0.5,5.948916e-05
1.1591592,0.5,4.9773604e-05
1.1651652,0.5,3.844872e-05
1.1711712,0.5,2.5752932e-05
1.1771772,0.5,1.1149794e-05
1.1831832,0.5,-5.122274e-06
1.1891892,0.5,-2.3122877e-05
1.1951952,0.5,-4.303083e-05
1.2012012,0.5,-6.490573e-05
1.2072072,0.5,-8.862838e-05
1.2132132,0.5,-0.00011467561
1.2192192,0.5,-0.0001427494
1.2252252,0.5,-0.00017314777
1.2312312,0.5,-0.00020581111
1.2372372,0.5,-0.00024097785
1.2432432,0.5,-0.00027852878
1.2492492,0.5,-0.0003185831
1.2552553,0.5,-0.00036120042
1.2612613,0.5,-0.00040655956
1.2672673,0.5,-0.0004546605
1.2732733,0.5,-0.0005056225
1.2792794,0.5,-0.00055938587
1.2852854,0.5,-0.0006164275
1.2912914,0.5,-0.00067609176
1.2972974,0.5,-0.0007393323
1.3033034,0.5,-0.00080537423
1.3093094,0.5,-0.00087487325
1.3153154,0.5,-0.0009476505
1.3213214,0.5,-0.0010238253
1.3273274,0.5,-0.0011035167
1.3333334,0.5,-0.0011866651
1.3393394,0.5,-0.0012733899
1.3453454,0.5,-0.0013637505
1.3513514,0.5,-0.0014577471
1.3573574,0.5,-0.0015556775
1.3633634,0.5,-0.0016573034
1.3693694,0.5,-0.001762744
1.3753754,0.5,-0.0018721782
1.3813814,0.5,-0.001985427
1.3873874,0.5,-0.0021026693
1.3933934,0.5,-0.0022241436
1.3993994,0.5,-0.002349671
1.4054054,0.5,-0.002479311
1.4114114,0.5,-0.0026129447
1.4174174,0.5,-0.0027508102
1.4234234,0.5,-0.0028929673
1.4294294,0.5,-0.0030393563
1.4354354,0.5,-0.003189858
1.4414415,0.5,-0.0033446513
1.4474475,0.5,-0.0035036765
1.4534535,0.5,-0.003666874
1.4594595,0.5,-0.0038344227
1.4654655,0.5,-0.0040064417
1.4714715,0.5,-0.0041823946
1.4774776,0.5,-0.0043628775
1.4834836,0.5,-0.004547294
1.4894896,0.5,-0.0047360025
1.4954956,0.5,-0.0049288236
1.5015016,0.5,-0.005125817
1.5075076,0.5,-0.005326744
1.5135136,0.5,-0.0055318438
1.5195196,0.5,-0.005741056
1.5255256,0.5,-0.005953964
1.5315316,0.5,-0.0061706267
1.5375376,0.5,-0.006391164
1.5435436,0.5,-0.0066155754
1.5495496,0.5,-0.006843444
1.5555556,0.5,-0.007074829
1.5615616,0.5,-0.007309731
1.5675676,0.5,-0.0075477324
1.5735736,0.5,-0.0077889524
1.5795796,0.5,-0.00803351
1.5855856,0.5,-0.008280691
1.5915916,0.5,-0.008530851
1.5975976,0.5,-0.008783575
1.6036036,0.5,-0.009038832
1.6096096,0.5,-0.009296473
1.6156156,0.5,-0.009556349
1.6216216,0.5,-0.009818193
1.6276276,0.5,-0.010081794
1.6336336,0.5,-0.010347094
1.6396397,0.5,-0.010613795
1.6456457,0.5,-0.010881688
1.6516517,0.5,-0.011150625
1.6576577,0.5,-0.011420097
1.6636637,0.5,-0.011690315
1.6696697,0.5,-0.011960831
1.6756757,0.5,-0.012231465
1.6816818,0.5,-0.012501743
1.6876878,0.5,-0.0127714835
1.6936938,0.5,-0.013040569
1.6996998,0.5,-0.013308641
1.7057058,0.5,-0.013575282
1.7117118,0.5,-0.013840314
1.7177178,0.5,-0.014103439
1.7237238,0.5,-0.014364269
1.7297298,0.5,-0.014622655
1.7357358,0.5,-0.014877792
1.7417418,0.5,-0.015129771
1.7477478,0.5,-0.015378233
1.7537538,0.5,-0.015622642
1.7597598,0.5,-0.015862819
1.7657658,0.5,-0.016098078
1.7717718,0.5,-0.016328182
1.7777778,0.5,-0.0165531
1.7837838,0.5,-0.016771968
1.7897898,0.5,-0.0169844
1.7957958,0.5,-0.017190333
1.8018018,0.5,-0.017389026
1.8078078,0.5,-0.017580207
1.8138138,0.5,-0.017763522
1.8198198,0.5,-0.017938193
1.8258259,0.5,-0.018104013
1.8318319,0.5,-0.018260684
1.8378379,0.5,-0.01840752
1.8438439,0.5,-0.018544074
1.8498499,0.5,-0.018670049
1.855856,0.5,-0.018784758
1.861862,0.5,-0.018887844
1.867868,0.5,-0.01897889
1.873874,0.5,-0.01905721
1.87988,0.5,-0.019122478
1.885886,0.5,-0.019174155
1.891892,0.5,-0.019211616
1.897898,0.5,-0.019234713
1.903904,0.5,-0.019242521
1.90991,0.5,-0.019234803
1.915916,0.5,-0.01921093
1.921922,0.5,-0.01917046
1.927928,0.5,-0.019112792
1.933934,0.5,-0.019037541
1.93994,0.5,-0.018943902
1.945946,0.5,-0.018831667
1.951952,0.5,-0.01870012
1.957958,0.5,-0.018549081
1.963964,0.5,-0.01837748
1.96997,0.5,-0.018185165
1.975976,0.5,-0.017971572
1.981982,0.5,-0.017735895
1.987988,0.5,-0.017478194
1.993994,0.5,-0.017197367
2.0,0.5,-0.016893115
2.006006,0.5,-0.016564991
2.012012,0.5,-0.0162124
2.018018,0.5,-0.015834745
2.024024,0.5,-0.01543149
2.03003,0.5,-0.015002426
2.036036,0.5,-0.014546629
2.042042,0.5,-0.014063831
2.048048,0.5,-0.013553586
2.054054,0.5,-0.013015147
2.06006,0.5,-0.012448128
2.066066,0.5,-0.011852201
2.072072,0.5,-0.01122671
2.078078,0.5,-0.010571208
2.084084,0.5,-0.00988498
2.09009,0.5,-0.009167906
2.096096,0.5,-0.008419301
2.102102,0.5,-0.007638838
2.108108,0.5,-0.006825682
2.1141143,0.5,-0.005980041
2.1201203,0.5,-0.0051008724
2.1261263,0.5,-0.0041879974
2.1321323,0.5,-0.00324082
2.1381383,0.5,-0.0022589527
2.1441443,0.5,-0.0012420677
2.1501503,0.5,-0.00018986687
2.1561563,0.5,0.00089854375
2.1621623,0.5,0.0020230152
2.1681683,0.5,0.0031844713
2.1741743,0.5,0.004383091
2.1801803,0.5,0.005618874
2.1861863,0.5,0.0068928637
2.1921923,0.5,0.008204941
2.1981983,0.5,0.009555582
2.2042043,0.5,0.010945354
2.2102103,0.5,0.012374405
2.2162163,0.5,0.013843123
2.2222223,0.5,0.015351776
2.2282283,0.5,0.016900662
2.2342343,0.5,0.01849011
2.2402403,0.5,0.020120684
2.2462463,0.5,0.021792386
2.2522523,0.5,0.023505542
2.2582583,0.5,0.025260482
2.2642643,0.5,0.027057353
2.2702703,0.5,0.028896634
2.2762764,0.5,0.030778263
2.2822824,0.5,0.032702688
2.2882884,0.5,0.03466997
2.2942944,0.5,0.03668082
2.3003004,0.5,0.038734827
2.3063064,0.5,0.040832344
2.3123124,0.5,0.0429737
2.3183184,0.5,0.045158897
2.3243244,0.5,0.047388498
2.3303304,0.5,0.049662087
2.3363364,0.5,0.05198029
2.3423424,0.5,0.05434299
2.3483484,0.5,0.056750182
2.3543544,0.5,0.059202377
2.3603604,0.5,0.061699454
2.3663664,0.5,0.06424159
2.3723724,0.5,0.066828966
2.3783784,0.5,0.069461614
2.3843844,0.5,0.07213953
2.3903904,0.5,0.07486281
2.3963964,0.5,0.07763162
2.4024024,0.5,0.080446154
2.4084084,0.5,0.08330643
2.4144144,0.5,0.08621243
2.4204204,0.5,0.089164436
2.4264264,0.5,0.09216243
2.4324324,0.5,0.0952068
2.4384384,0.5,0.09829745
2.4444444,0.5,0.1014345
2.4504504,0.5,0.10461834
2.4564564,0.5,0.107849
2.4624624,0.5,0.11112687
2.4684684,0.5,0.11445218
2.4744744,0.5,0.11782557
2.4804804,0.5,0.121246934
2.4864864,0.5,0.124717414
2.4924924,0.5,0.12823692
2.4984984,0.5,0.13180658
2.5045047,0.5,0.13542742
2.5105107,0.5,0.13909969
2.5165167,0.5,0.14282471
2.5225227,0.5,0.14660391
2.5285287,0.5,0.15043873
2.5345347,0.5,0.15433079
2.5405407,0.5,0.15828216
2.5465467,0.5,0.16229486
2.5525527,0.5,0.16637173
2.5585587,0.5,0.17051584
2.5645647,0.5,0.17473051
2.5705707,0.5,0.1790199
2.5765767,0.5,0.18338874
2.5825827,0.5,0.18784234
2.5885887,0.5,0.19238657
2.5945947,0.5,0.197029
2.6006007,0.5,0.20177707
2.6066067,0.5,0.20664093
2.6126127,0.5,0.21163058
2.6186187,0.5,0.21675864
2.6246247,0.5,0.22203958
2.6306307,0.5,0.22748911
2.6366367,0.5,0.23312642
2.6426427,0.5,0.23897299
2.6486487,0.5,0.24505424
2.6546547,0.5,0.25139865
2.6606607,0.5,0.25803998
2.6666667,0.5,0.2650174
2.6726727,0.5,0.27237588
2.6786788,0.5,0.2801686
2.6846848,0.5,0.28845695
2.6906908,0.5,0.2973123
2.6966968,0.5,0.30681795
2.7027028,0.5,0.31706926
2.7087088,0.5,0.32817638
2.7147148,0.5,0.340262
2.7207208,0.5,0.35346216
2.7267268,0.5,0.36792117
2.7327328,0.5,0.38378662
2.7387388,0.5,0.40119606
2.7447448,0.5,0.420264
2.7507508,0.5,0.4410588
2.7567568,0.5,0.46358198
2.7627628,0.5,0.48774153
2.7687688,0.5,0.51333964
2.7747748,0.5,0.540064
2.7807808,0.5,0.5675012
2.7867868,0.5,0.59516925
2.7927928,0.5,0.62255883
2.7987988,0.5,0.64918524
2.8048048,0.5,0.67463356
2.8108108,0.5,0.69858867
2.8168168,0.5,0.7208486
2.8228228,0.5,0.7413198
2.8288288,0.5,0.7600023
2.8348348,0.5,0.7769665
2.8408408,0.5,0.79232997
2.8468468,0.5,0.80623734
2.8528528,0.5,0.81884354
2.8588588,0.5,0.8303024
2.8648648,0.5,0.84075946
2.8708708,0.5,0.8503471
2.8768768,0.5,0.8591835
2.882883,0.5,0.86737174
2.888889,0.5,0.8750002
2.894895,0.5,0.88214505
2.900901,0.5,0.88887006
2.906907,0.5,0.8952289
2.912913,0.5,0.9012664
2.918919,0.5,0.9070192
2.924925,0.5,0.91251737
